reservation_id,user_id,car_id,supplier_id,city,rental_length,start_date,start_time,return_date,return_time,deposit_price,drive_away_price,price,currency,rundate
877527,55,728723191,1,London,2,2023/7/25,10:00,2023/7/27,10:00,75,75,75,GBP,2023/7/23 5:05
778928,20,691529366,1,London,2,2023/7/25,10:00,2023/7/27,10:00,85.62,85.62,85.62,GBP,2023/7/23 5:05
237480,77,691529536,2,London,2,2023/7/25,10:00,2023/7/27,10:00,95.56,95.56,95.56,GBP,2023/7/23 5:05
698234,73,691529351,3,London,2,2023/7/25,10:00,2023/7/27,10:00,90.64,90.64,90.64,GBP,2023/7/23 5:05
714427,32,691529441,4,London,2,2023/7/25,10:00,2023/7/27,10:00,109.6,109.6,109.6,GBP,2023/7/23 5:05
773726,33,728723216,5,London,2,2023/7/25,10:00,2023/7/27,10:00,90.62,90.62,90.62,GBP,2023/7/23 5:05
601002,120,699298791,6,London,2,2023/7/25,10:00,2023/7/27,10:00,112.16,112.16,112.16,GBP,2023/7/23 5:05
327238,22,738669556,7,London,2,2023/7/25,10:00,2023/7/27,10:00,114.3,136.02,114.3,GBP,2023/7/23 5:05
47863,24,691529431,8,London,2,2023/7/25,10:00,2023/7/27,10:00,107.91,107.91,107.91,GBP,2023/7/23 5:05
648964,75,745686606,9,London,2,2023/7/25,10:00,2023/7/27,10:00,125.64,149.51,125.64,GBP,2023/7/23 5:05
973250,26,699254971,10,London,2,2023/7/25,10:00,2023/7/27,10:00,93.83,93.83,93.83,GBP,2023/7/23 5:05
800510,45,712385081,11,London,2,2023/7/25,10:00,2023/7/27,10:00,151.68,151.68,151.68,GBP,2023/7/23 5:05
237311,36,740439691,12,London,2,2023/7/25,10:00,2023/7/27,10:00,118.3,118.3,118.3,GBP,2023/7/23 5:05
563012,34,738651026,13,London,2,2023/7/25,10:00,2023/7/27,10:00,117.35,139.65,117.35,GBP,2023/7/23 5:05
401305,3,739391166,14,London,2,2023/7/25,10:00,2023/7/27,10:00,131.98,131.98,131.98,GBP,2023/7/23 5:05
89656,117,672007301,15,London,2,2023/7/25,10:00,2023/7/27,10:00,131.98,131.98,131.98,GBP,2023/7/23 5:05
503357,55,673966761,16,London,2,2023/7/25,10:00,2023/7/27,10:00,131.98,131.98,131.98,GBP,2023/7/23 5:05
441265,127,728723201,17,London,2,2023/7/25,10:00,2023/7/27,10:00,87.5,87.5,87.5,GBP,2023/7/23 5:05
103028,27,537142658,18,London,2,2023/7/25,10:00,2023/7/27,10:00,102.91,102.91,102.91,GBP,2023/7/23 5:05
543791,30,712319871,19,London,2,2023/7/25,10:00,2023/7/27,10:00,117.01,117.01,117.01,GBP,2023/7/23 5:05
709377,8,738750416,20,London,2,2023/7/25,10:00,2023/7/27,10:00,115.16,115.16,115.16,GBP,2023/7/23 5:05
583063,120,728723226,21,London,2,2023/7/25,10:00,2023/7/27,10:00,106.25,106.25,106.25,GBP,2023/7/23 5:05
101326,89,710800766,22,London,2,2023/7/25,10:00,2023/7/27,10:00,131.98,131.98,131.98,GBP,2023/7/23 5:05
402243,119,699340901,23,London,2,2023/7/25,10:00,2023/7/27,10:00,92.06,92.06,92.06,GBP,2023/7/23 5:05
695741,34,699242306,24,London,2,2023/7/25,10:00,2023/7/27,10:00,110.47,110.47,110.47,GBP,2023/7/23 5:05
401405,37,700671878,25,London,2,2023/7/25,10:00,2023/7/27,10:00,112.61,134.01,112.61,GBP,2023/7/23 5:05
549748,57,537142623,26,London,2,2023/7/25,10:00,2023/7/27,10:00,131.98,131.98,131.98,GBP,2023/7/23 5:05
104382,99,711632846,27,London,2,2023/7/25,10:00,2023/7/27,10:00,100.3,100.3,100.3,GBP,2023/7/23 5:05
585882,44,668700381,28,London,2,2023/7/25,10:00,2023/7/27,10:00,100.3,100.3,100.3,GBP,2023/7/23 5:05
577053,89,713364951,29,London,2,2023/7/25,10:00,2023/7/27,10:00,197.25,197.25,197.25,GBP,2023/7/23 5:05
201593,125,743014606,30,London,2,2023/7/25,10:00,2023/7/27,10:00,377.96,377.96,377.96,GBP,2023/7/23 5:05
7647,128,700717048,31,London,2,2023/7/25,10:00,2023/7/27,10:00,95.76,113.95,95.76,GBP,2023/7/23 5:05
472043,97,738556376,32,London,2,2023/7/25,10:00,2023/7/27,10:00,248.18,248.18,248.18,GBP,2023/7/23 5:05
